,0
135,2022-11-13 00:40:30-08:00
136,2022-11-13 00:34:14-08:00
137,2022-11-13 00:34:08-08:00
138,2022-11-13 00:25:35-08:00
139,2022-11-13 00:25:30-08:00
140,2022-11-13 00:20:31-08:00
141,2022-11-13 00:18:55-08:00
142,2022-11-13 00:12:40-08:00
143,2022-11-13 00:03:12-08:00
144,2022-11-13 00:03:06-08:00
145,2022-11-12 23:56:38-08:00
146,2022-11-12 23:56:32-08:00
147,2022-11-12 23:51:52-08:00
148,2022-11-12 23:51:36-08:00
149,2022-11-12 23:51:30-08:00
150,2022-11-12 23:45:39-08:00
151,2022-11-12 23:45:30-08:00
152,2022-11-12 23:27:39-08:00
153,2022-11-12 23:25:47-08:00
154,2022-11-12 23:25:40-08:00
155,2022-11-12 21:48:35-08:00
156,2022-11-12 21:48:29-08:00
157,2022-11-12 21:48:23-08:00
158,2022-11-12 21:48:11-08:00
159,2022-11-12 21:44:15-08:00
160,2022-11-12 21:44:08-08:00
161,2022-11-12 21:44:01-08:00
162,2022-11-12 21:40:50-08:00
163,2022-11-12 21:39:30-08:00
164,2022-11-12 21:35:41-08:00
165,2022-11-12 21:35:31-08:00
166,2022-11-12 21:33:42-08:00
167,2022-11-12 21:31:02-08:00
168,2022-11-12 21:28:33-08:00
169,2022-11-12 21:22:19-08:00
170,2022-11-12 21:09:10-08:00
171,2022-11-12 21:05:46-08:00
172,2022-11-12 21:05:39-08:00
173,2022-11-12 20:58:06-08:00
174,2022-11-12 20:58:00-08:00
175,2022-11-12 20:51:12-08:00
176,2022-11-12 20:51:06-08:00
177,2022-11-12 20:44:22-08:00
178,2022-11-12 20:41:24-08:00
179,2022-10-22 14:21:36-07:00
180,2022-10-22 14:19:25-07:00
181,2022-10-22 14:10:51-07:00
182,2022-10-22 14:07:33-07:00
183,2022-10-22 14:06:54-07:00
184,2022-10-18 14:53:31-07:00
185,2022-10-18 11:11:55-07:00
186,2022-10-18 11:07:24-07:00
187,2022-10-18 10:49:41-07:00
188,2022-10-18 10:42:57-07:00
189,2022-10-18 10:36:14-07:00
190,2022-10-18 10:36:08-07:00
191,2022-10-18 10:35:52-07:00
192,2022-10-17 08:08:57-07:00
193,2022-10-16 22:18:23-07:00
194,2022-10-16 17:42:10-07:00
195,2022-10-16 17:42:03-07:00
196,2022-10-11 11:20:42-07:00
197,2022-10-05 23:19:59-07:00
198,2022-10-05 23:19:57-07:00
199,2022-10-05 23:19:25-07:00
200,2022-10-05 23:04:03-07:00
201,2022-10-05 23:02:37-07:00
202,2022-10-05 23:02:30-07:00
203,2022-10-05 23:02:24-07:00
204,2022-10-05 16:07:12-07:00
205,2022-10-05 16:07:05-07:00
206,2022-10-05 16:06:59-07:00
207,2022-10-05 16:04:43-07:00
208,2022-10-04 17:42:35-07:00
209,2022-10-04 17:36:08-07:00
210,2022-10-04 17:35:59-07:00
211,2022-10-04 17:35:53-07:00
212,2022-10-03 12:50:17-07:00
213,2022-10-03 12:42:22-07:00
214,2022-10-03 12:42:16-07:00
215,2022-10-03 12:42:04-07:00
216,2022-10-03 12:41:45-07:00
217,2022-10-03 12:40:43-07:00
218,2022-10-03 12:36:23-07:00
219,2022-10-03 12:36:15-07:00
220,2022-10-03 12:34:28-07:00
221,2022-10-03 12:34:11-07:00
222,2022-10-03 12:28:32-07:00
223,2022-10-03 12:19:17-07:00
224,2022-10-03 12:19:02-07:00
225,2022-10-03 12:12:16-07:00
226,2022-10-03 12:11:39-07:00
227,2022-10-03 12:11:33-07:00
228,2022-10-03 12:10:40-07:00
229,2022-10-02 10:46:46-07:00
230,2022-10-02 10:38:42-07:00
231,2022-10-02 10:31:35-07:00
232,2022-10-02 09:35:43-07:00
233,2022-10-02 09:35:36-07:00
234,2022-10-02 09:30:03-07:00
235,2022-10-02 09:29:48-07:00
236,2022-10-02 09:29:33-07:00
237,2022-09-30 00:06:33-07:00
238,2022-09-30 00:06:16-07:00
239,2022-09-30 00:00:43-07:00
240,2022-09-30 00:00:27-07:00
241,2022-09-30 00:00:19-07:00
242,2022-09-29 23:55:58-07:00
243,2022-09-29 23:55:51-07:00
244,2022-09-29 23:45:16-07:00
245,2022-09-29 23:45:05-07:00
246,2022-09-29 08:20:14-07:00
247,2022-09-29 08:16:51-07:00
248,2022-09-29 08:15:05-07:00
249,2022-09-29 08:09:33-07:00
250,2022-09-29 08:01:54-07:00
251,2022-09-29 08:01:47-07:00
252,2022-09-29 08:01:31-07:00
253,2022-09-29 07:57:58-07:00
254,2022-09-28 22:19:02-07:00
255,2022-09-28 13:44:25-07:00
256,2022-09-28 13:36:46-07:00
257,2022-09-28 13:30:21-07:00
258,2022-09-28 13:21:00-07:00
259,2022-09-28 13:13:11-07:00
260,2022-09-28 13:13:05-07:00
261,2022-09-28 13:06:21-07:00
262,2022-09-28 12:59:28-07:00
263,2022-09-28 12:53:42-07:00
264,2022-09-28 12:43:28-07:00
265,2022-09-28 12:43:22-07:00
266,2022-09-28 12:43:06-07:00
267,2022-09-15 22:39:14-07:00
268,2022-09-15 22:33:59-07:00
269,2022-09-15 22:33:45-07:00
270,2022-09-14 23:29:45-07:00
271,2022-09-14 23:29:20-07:00
272,2022-09-14 23:29:09-07:00
273,2022-09-12 22:37:11-07:00
274,2022-09-12 22:37:01-07:00
275,2022-07-16 08:04:15-07:00
276,2022-06-11 14:44:06-07:00
277,2022-06-01 05:14:37-07:00
278,2022-06-01 05:14:30-07:00
279,2022-05-31 18:16:02-07:00
280,2022-05-31 13:35:49-07:00
281,2022-05-31 13:35:43-07:00
282,2022-05-31 13:20:28-07:00
283,2022-05-31 13:02:16-07:00
284,2022-05-31 11:47:42-07:00
285,2022-05-16 12:32:37-07:00
286,2022-05-12 10:13:47-07:00
287,2022-05-05 13:04:45-07:00
288,2022-05-05 12:19:57-07:00
289,2022-05-05 12:17:58-07:00
290,2022-05-05 12:17:51-07:00
291,2022-05-04 21:05:30-07:00
292,2022-05-04 20:16:55-07:00
293,2022-05-04 19:46:42-07:00
294,2022-05-04 19:46:35-07:00
295,2022-05-04 19:33:57-07:00
296,2022-04-10 23:27:52-07:00
297,2022-04-08 13:51:44-07:00
298,2022-04-08 13:51:16-07:00
299,2022-04-08 13:51:09-07:00
300,2022-04-06 12:28:00-07:00
301,2022-04-06 12:27:53-07:00
302,2022-04-06 12:27:47-07:00
303,2022-04-01 17:36:31-07:00
304,2022-03-31 12:57:44-07:00
305,2022-03-31 12:57:37-07:00
306,2022-03-31 07:47:41-07:00
307,2022-03-31 07:38:44-07:00
308,2022-03-31 07:38:32-07:00
309,2022-03-30 09:01:42-07:00
310,2022-03-29 09:09:44-07:00
311,2022-03-29 09:09:38-07:00
312,2022-03-26 08:56:57-07:00
313,2022-03-26 08:56:51-07:00
314,2022-03-26 08:53:35-07:00
315,2022-03-26 08:50:10-07:00
316,2022-03-26 08:48:20-07:00
317,2022-03-25 13:17:06-07:00
318,2022-03-25 13:17:00-07:00
319,2022-03-25 13:16:53-07:00
320,2022-03-21 12:30:15-07:00
321,2022-03-07 18:58:23-08:00
322,2022-03-07 18:49:09-08:00
323,2022-03-07 18:49:03-08:00
324,2022-03-02 20:34:49-08:00
325,2022-03-01 13:37:05-08:00
326,2022-02-24 13:59:53-08:00
327,2022-02-24 13:59:35-08:00
328,2022-02-24 13:59:21-08:00
329,2022-02-24 13:56:30-08:00
330,2022-02-24 13:52:40-08:00
331,2022-02-24 13:44:53-08:00
332,2022-02-24 13:44:46-08:00
333,2022-02-22 10:37:32-08:00
334,2022-02-03 14:53:43-08:00
335,2022-02-01 10:36:14-08:00
336,2022-02-01 10:36:05-08:00
337,2022-01-27 14:56:18-08:00
338,2022-01-27 14:24:53-08:00
339,2022-01-01 21:23:08-08:00
340,2021-12-26 11:19:50-08:00
341,2021-12-14 21:57:43-08:00
342,2021-12-14 21:35:15-08:00
343,2021-12-14 16:52:46-08:00
344,2021-12-12 17:45:42-08:00
345,2021-12-11 00:11:53-08:00
346,2021-12-11 00:05:56-08:00
347,2021-12-11 00:03:22-08:00
348,2021-12-11 00:02:58-08:00
349,2021-12-09 14:32:14-08:00
350,2021-12-09 14:30:48-08:00
351,2021-12-09 14:23:36-08:00
352,2021-12-09 14:23:13-08:00
353,2021-12-08 17:31:45-08:00
354,2021-12-03 15:17:00-08:00
355,2021-12-03 15:09:34-08:00
356,2021-12-03 15:00:46-08:00
357,2021-12-03 14:47:57-08:00
358,2021-12-03 14:45:24-08:00
359,2021-12-03 14:22:30-08:00
360,2021-12-02 21:07:07-08:00
361,2021-12-02 21:06:02-08:00
362,2021-12-02 20:32:14-08:00
363,2021-12-01 18:17:10-08:00
364,2021-11-29 23:03:29-08:00
365,2021-11-29 17:21:22-08:00
366,2021-11-29 10:28:10-08:00
367,2021-11-23 10:44:25-08:00
368,2021-11-19 21:12:01-08:00
369,2021-11-19 21:11:23-08:00
370,2021-11-19 21:10:45-08:00
371,2021-11-19 21:08:06-08:00
372,2021-11-19 20:44:09-08:00
373,2021-11-19 10:12:32-08:00
374,2021-11-19 00:38:17-08:00
375,2021-11-18 22:29:34-08:00
376,2021-11-18 22:22:58-08:00
377,2021-11-18 22:07:59-08:00
378,2021-11-18 21:58:47-08:00
379,2021-11-18 21:48:51-08:00
380,2021-11-18 21:40:25-08:00
381,2021-11-18 21:33:30-08:00
382,2021-11-18 21:26:07-08:00
383,2021-11-18 21:18:40-08:00
384,2021-11-18 21:04:58-08:00
385,2021-11-18 18:08:39-08:00
386,2021-11-18 18:00:45-08:00
387,2021-11-18 17:56:20-08:00
388,2021-11-18 17:51:38-08:00
389,2021-11-18 17:43:09-08:00
390,2021-11-18 17:40:43-08:00
391,2021-11-18 17:38:36-08:00
392,2021-11-18 17:37:45-08:00
393,2021-11-18 17:37:08-08:00
394,2021-11-18 17:29:49-08:00
395,2021-11-08 15:04:06-08:00
396,2021-11-08 14:46:29-08:00
397,2021-11-08 14:44:53-08:00
398,2021-11-08 14:44:00-08:00
399,2021-11-03 14:51:40-07:00
400,2021-11-03 14:49:47-07:00
401,2021-11-03 14:49:23-07:00
402,2021-11-03 14:28:42-07:00
403,2021-11-01 15:34:32-07:00
404,2021-11-01 15:31:27-07:00
405,2021-11-01 15:28:03-07:00
406,2021-10-27 18:55:07-07:00
407,2021-10-27 18:54:25-07:00
408,2021-10-27 18:52:24-07:00
409,2021-10-26 14:50:01-07:00
410,2021-10-24 15:05:09-07:00
411,2021-10-18 14:32:35-07:00
412,2021-10-13 14:03:55-07:00
413,2021-10-13 14:03:10-07:00
414,2021-10-13 14:02:28-07:00
415,2021-10-13 14:01:52-07:00
416,2021-10-13 14:00:38-07:00
417,2021-10-13 13:58:28-07:00
418,2021-10-02 13:53:47-07:00
419,2021-09-28 19:27:17-07:00
420,2021-09-27 15:27:32-07:00
421,2021-09-22 07:38:03-07:00
422,2021-09-20 22:26:43-07:00
423,2021-09-20 12:51:24-07:00
424,2021-09-19 18:16:28-07:00
425,2021-09-18 10:07:48-07:00
426,2021-09-07 17:37:56-07:00
427,2021-08-30 14:24:20-07:00
428,2021-08-26 10:10:17-07:00
429,2021-08-25 23:09:39-07:00
430,2021-08-25 18:42:17-07:00
431,2021-08-25 18:40:54-07:00
432,2021-08-25 18:40:05-07:00
433,2021-08-21 09:31:59-07:00
434,2021-08-21 09:20:55-07:00
435,2021-08-20 21:25:34-07:00
436,2021-08-20 21:21:37-07:00
437,2021-08-20 10:21:16-07:00
438,2021-08-20 10:19:44-07:00
439,2021-08-11 11:55:47-07:00
440,2021-08-10 10:17:14-07:00
441,2021-08-10 10:17:12-07:00
442,2021-08-10 10:12:25-07:00
443,2021-08-08 17:18:57-07:00
444,2021-08-02 16:49:51-07:00
445,2021-08-02 16:06:26-07:00
446,2021-08-02 16:03:04-07:00
447,2021-08-01 21:34:26-07:00
448,2021-08-01 16:18:46-07:00
449,2021-07-21 21:28:39-07:00
450,2021-07-21 21:24:11-07:00
451,2021-07-16 09:59:12-07:00
452,2021-07-16 09:58:04-07:00
453,2021-07-13 12:07:30-07:00
454,2021-07-12 23:56:20-07:00
455,2021-07-12 23:53:02-07:00
456,2021-07-12 23:45:14-07:00
457,2021-07-12 23:39:17-07:00
458,2021-07-12 23:34:00-07:00
459,2021-07-12 23:30:47-07:00
460,2021-07-10 18:45:35-07:00
461,2021-07-10 15:46:11-07:00
462,2021-07-08 09:57:48-07:00
463,2021-07-07 23:30:18-07:00
464,2021-07-07 23:30:01-07:00
465,2021-07-07 21:36:58-07:00
466,2021-07-07 21:19:57-07:00
467,2021-07-07 21:11:46-07:00
468,2021-07-07 21:11:17-07:00
469,2021-07-07 19:41:17-07:00
470,2021-07-07 19:40:59-07:00
471,2021-07-07 19:25:59-07:00
472,2021-07-07 10:57:42-07:00
473,2021-07-07 00:30:59-07:00
474,2021-07-07 00:27:18-07:00
475,2021-07-07 00:25:58-07:00
476,2021-07-07 00:18:56-07:00
477,2021-07-06 23:39:28-07:00
478,2021-07-06 13:28:40-07:00
479,2021-07-06 10:35:27-07:00
480,2021-07-05 15:32:16-07:00
481,2021-07-05 15:32:09-07:00
482,2021-07-05 15:27:48-07:00
483,2021-07-05 15:21:38-07:00
484,2021-06-30 22:57:38-07:00
485,2021-06-29 23:36:04-07:00
486,2021-06-29 21:37:12-07:00
487,2021-06-28 20:55:36-07:00
488,2021-06-27 10:45:12-07:00
489,2021-06-27 10:44:51-07:00
490,2021-06-24 16:36:35-07:00
491,2021-06-24 16:35:47-07:00
492,2021-06-22 16:56:02-07:00
493,2021-06-22 16:51:48-07:00
494,2021-06-22 16:51:28-07:00
495,2021-06-19 16:43:27-07:00
496,2021-06-19 16:40:43-07:00
497,2021-06-19 16:39:57-07:00
498,2021-06-17 21:03:43-07:00
499,2021-06-17 21:03:16-07:00
500,2021-06-16 11:16:43-07:00
501,2021-06-14 22:55:33-07:00
502,2021-06-14 22:48:23-07:00
503,2021-06-14 22:41:25-07:00
504,2021-06-14 22:27:08-07:00
505,2021-06-14 16:21:12-07:00
506,2021-06-10 22:43:41-07:00
507,2021-06-10 22:42:48-07:00
508,2021-06-10 21:10:24-07:00
509,2021-06-10 09:26:18-07:00
510,2021-05-14 19:54:55-07:00
511,2021-05-11 14:50:49-07:00
512,2021-05-11 14:50:20-07:00
513,2021-05-11 14:41:53-07:00
514,2021-05-11 01:16:56-07:00
515,2021-05-10 11:52:54-07:00
516,2021-05-10 11:52:41-07:00
517,2021-05-10 09:18:04-07:00
518,2021-05-10 08:57:17-07:00
519,2021-05-10 08:56:34-07:00
520,2021-05-10 08:46:46-07:00
521,2021-05-09 16:46:41-07:00
522,2021-05-06 19:54:21-07:00
523,2021-05-04 21:40:40-07:00
524,2021-05-04 21:11:44-07:00
525,2021-05-04 10:42:48-07:00
526,2021-05-04 10:35:01-07:00
527,2021-05-04 08:32:15-07:00
528,2021-05-03 21:33:46-07:00
529,2021-05-03 21:32:07-07:00
530,2021-05-03 21:27:23-07:00
531,2021-05-03 21:21:27-07:00
532,2021-05-03 20:54:07-07:00
533,2021-05-02 17:42:21-07:00
534,2021-05-01 17:20:27-07:00
535,2021-05-01 17:10:41-07:00
536,2021-05-01 17:07:02-07:00
537,2021-05-01 17:00:47-07:00
538,2021-05-01 16:59:36-07:00
539,2021-05-01 16:54:47-07:00
540,2021-05-01 09:35:07-07:00
541,2021-04-30 07:55:37-07:00
542,2021-04-29 21:41:11-07:00
543,2021-04-29 18:16:20-07:00
544,2021-04-29 18:12:43-07:00
545,2021-04-27 22:48:07-07:00
546,2021-04-27 22:35:33-07:00
547,2021-04-27 22:34:37-07:00
548,2021-04-27 14:09:27-07:00
549,2021-04-27 14:01:28-07:00
550,2021-04-27 13:53:21-07:00
551,2021-04-27 13:49:50-07:00
552,2021-04-27 13:45:05-07:00
553,2021-04-27 13:42:19-07:00
554,2021-04-26 13:51:30-07:00
555,2021-04-26 13:41:35-07:00
556,2021-04-26 13:28:32-07:00
557,2021-04-26 13:17:48-07:00
558,2021-04-26 13:17:14-07:00
559,2021-04-26 13:14:36-07:00
560,2021-04-26 13:14:32-07:00
561,2021-04-26 13:13:24-07:00
562,2021-04-26 13:13:21-07:00
563,2021-04-26 13:11:16-07:00
564,2021-04-26 13:10:22-07:00
565,2021-04-26 13:06:43-07:00
566,2021-04-26 13:05:31-07:00
567,2021-04-26 13:04:00-07:00
568,2021-04-25 21:30:14-07:00
569,2021-04-25 21:22:22-07:00
570,2021-04-25 21:21:51-07:00
571,2021-04-25 21:19:25-07:00
572,2021-04-25 21:14:38-07:00
573,2021-04-25 21:11:52-07:00
574,2021-04-25 21:11:34-07:00
575,2021-04-25 21:09:25-07:00
576,2021-04-25 20:59:29-07:00
577,2021-04-25 20:52:05-07:00
578,2021-04-25 20:41:26-07:00
579,2021-04-25 20:36:38-07:00
580,2021-04-25 20:18:26-07:00
581,2021-04-25 20:14:32-07:00
582,2021-04-25 20:05:23-07:00
583,2021-04-21 22:18:57-07:00
584,2021-04-21 22:16:31-07:00
585,2021-04-19 09:45:05-07:00
586,2021-04-18 12:51:26-07:00
587,2021-04-13 22:37:13-07:00
588,2021-04-13 22:27:05-07:00
589,2021-02-01 22:45:14-08:00
590,2021-02-01 22:39:35-08:00
591,2021-02-01 21:57:22-08:00
592,2021-01-31 12:49:21-08:00
593,2021-01-31 10:55:35-08:00
594,2021-01-30 13:15:03-08:00
595,2021-01-30 09:36:44-08:00
596,2021-01-27 23:06:48-08:00
597,2021-01-27 23:02:00-08:00
598,2021-01-27 23:01:57-08:00
599,2021-01-26 13:44:23-08:00
600,2021-01-26 13:41:05-08:00
601,2021-01-26 13:37:47-08:00
602,2021-01-26 09:38:39-08:00
603,2021-01-26 09:35:51-08:00
604,2021-01-26 08:46:17-08:00
605,2021-01-26 08:36:52-08:00
606,2021-01-26 08:28:02-08:00
607,2021-01-26 08:18:32-08:00
608,2021-01-25 22:48:27-08:00
609,2021-01-25 09:17:37-08:00
610,2021-01-25 09:15:18-08:00
611,2021-01-25 09:10:08-08:00
612,2021-01-24 15:48:19-08:00
613,2021-01-22 15:38:56-08:00
614,2021-01-22 15:38:52-08:00
615,2021-01-22 15:31:43-08:00
616,2021-01-22 15:24:24-08:00
617,2021-01-22 15:18:33-08:00
618,2021-01-22 15:11:25-08:00
619,2021-01-22 15:06:01-08:00
620,2021-01-22 15:00:46-08:00
621,2021-01-21 15:19:03-08:00
622,2021-01-18 20:29:03-08:00
623,2021-01-18 20:24:34-08:00
624,2021-01-18 09:56:51-08:00
625,2021-01-17 11:37:05-08:00
626,2021-01-17 11:22:10-08:00
627,2021-01-17 11:14:57-08:00
628,2021-01-17 11:08:58-08:00
629,2021-01-16 23:40:15-08:00
630,2021-01-16 12:50:55-08:00
631,2021-01-16 12:46:20-08:00
632,2021-01-16 12:33:21-08:00
633,2021-01-16 12:23:10-08:00
634,2021-01-16 12:13:16-08:00
635,2021-01-16 12:09:58-08:00
636,2021-01-16 12:02:35-08:00
637,2021-01-16 11:58:38-08:00
638,2021-01-16 11:36:14-08:00
639,2021-01-16 11:25:43-08:00
640,2021-01-16 11:14:52-08:00
641,2021-01-15 16:36:37-08:00
642,2021-01-15 16:36:08-08:00
643,2021-01-15 00:07:18-08:00
644,2021-01-14 20:42:07-08:00
645,2021-01-14 19:26:52-08:00
646,2021-01-14 19:21:50-08:00
647,2021-01-14 15:49:00-08:00
648,2021-01-14 15:48:55-08:00
649,2021-01-08 00:09:46-08:00
650,2021-01-07 15:28:42-08:00
651,2021-01-07 09:38:21-08:00
652,2021-01-06 19:11:47-08:00
653,2021-01-06 19:10:35-08:00
654,2021-01-06 15:54:48-08:00
655,2021-01-06 12:40:55-08:00
656,2021-01-06 00:58:06-08:00
657,2021-01-06 00:56:47-08:00
658,2021-01-06 00:29:59-08:00
659,2021-01-05 20:24:29-08:00
660,2021-01-05 20:24:10-08:00
661,2021-01-05 20:20:22-08:00
662,2021-01-05 08:36:49-08:00
663,2021-01-05 08:36:31-08:00
664,2021-01-04 15:44:25-08:00
665,2021-01-02 22:14:05-08:00
666,2021-01-02 01:32:06-08:00
667,2021-01-01 23:51:52-08:00
668,2021-01-01 23:45:49-08:00
669,2021-01-01 23:39:10-08:00
670,2020-12-30 22:39:40-08:00
671,2020-12-30 22:30:29-08:00
672,2020-12-30 22:19:32-08:00
673,2020-12-30 22:19:09-08:00
674,2020-12-30 22:18:46-08:00
675,2020-12-30 22:01:31-08:00
676,2020-12-30 21:28:22-08:00
677,2020-12-30 21:20:34-08:00
678,2020-12-30 21:14:00-08:00
679,2020-12-30 21:13:33-08:00
680,2020-12-30 19:38:13-08:00
681,2020-12-30 19:30:40-08:00
682,2020-12-30 19:21:41-08:00
683,2020-12-30 19:16:15-08:00
684,2020-12-30 19:12:34-08:00
685,2020-12-30 19:04:38-08:00
686,2020-12-30 18:43:27-08:00
687,2020-12-30 18:41:48-08:00
688,2020-12-30 18:40:45-08:00
689,2020-12-30 18:39:54-08:00
690,2020-12-30 18:36:41-08:00
691,2020-12-30 18:36:05-08:00
692,2020-12-30 14:40:58-08:00
693,2020-12-30 14:40:38-08:00
694,2020-12-30 13:31:05-08:00
695,2020-12-29 13:56:57-08:00
696,2020-12-29 10:37:29-08:00
697,2020-10-27 13:50:42-07:00
698,2020-10-27 13:31:21-07:00
699,2020-10-26 14:17:57-07:00
700,2020-10-26 14:08:42-07:00
701,2020-10-25 14:21:16-07:00
702,2020-10-24 14:28:30-07:00
703,2020-10-23 15:56:17-07:00
704,2020-10-23 15:46:04-07:00
705,2020-10-23 13:05:56-07:00
706,2020-10-23 12:38:37-07:00
707,2020-10-23 12:34:46-07:00
708,2020-10-23 12:34:27-07:00
709,2020-10-22 11:32:59-07:00
710,2020-10-22 11:31:29-07:00
711,2020-10-22 11:31:17-07:00
712,2020-10-22 10:58:43-07:00
713,2020-10-22 10:53:48-07:00
714,2020-10-21 01:16:53-07:00
715,2020-10-21 01:09:10-07:00
716,2020-10-21 01:03:54-07:00
717,2020-10-21 00:24:33-07:00
718,2020-10-21 00:24:22-07:00
719,2020-10-20 00:15:02-07:00
720,2020-10-19 13:23:50-07:00
721,2020-10-19 13:13:07-07:00
722,2020-10-19 13:12:44-07:00
723,2020-10-19 11:17:33-07:00
724,2020-10-19 10:53:56-07:00
725,2020-10-18 23:24:45-07:00
726,2020-10-18 21:42:58-07:00
727,2020-10-18 14:38:12-07:00
728,2020-10-18 12:17:51-07:00
729,2020-10-16 02:01:50-07:00
730,2020-10-15 20:37:44-07:00
731,2020-10-15 20:32:43-07:00
732,2020-10-15 18:48:39-07:00
733,2020-10-15 18:41:07-07:00
734,2020-10-15 18:36:08-07:00
735,2020-10-15 18:35:46-07:00
